"","standardised_attanasio_profit","attanasio_treatment"
"1",0,0
"2",0,0
"3",0,0
"4",-2.54791580487161,0
"5",-7.11917651361187,0
"6",-2.39803840458505,0
"7",-4.7960768091701,0
"8",0,0
"9",7.19411521375515,0
"10",-6.18731377733014,0
"11",0,0
"12",0,0
"13",-1.42383530272237,0
"14",0,0
"15",0,0
"16",3.57457599683459,0
"17",0,0
"18",0,0
"19",0,0
"20",-10.2403733745796,0
"21",0.269779320515818,0
"22",10.1167245193432,0
"23",0,0
"24",0,0
"25",-3.67199630702086,0
"26",-3.46966181663399,0
"27",0,0
"28",0,0
"29",0.749387001432828,0
"30",-3.67199630702086,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",-11.4656211219223,0
"36",-8.20338962728488,0
"37",-0.374693500716414,0
"38",0,0
"39",0,0
"40",0,0
"41",-0.299754800573131,0
"42",-9.53220265822557,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",4.49632200859697,0
"52",0,0
"53",0,0
"54",0,0
"55",-1.73857784332416,0
"56",0,0
"57",0,0
"58",0,0
"59",-6.36978951217904,0
"60",-4.08041222280175,0
"61",3.67199630702086,1
"62",-9.70456166855512,1
"63",-1.57371270300894,1
"64",-0.374693500716414,1
"65",0,1
"66",0,1
"67",0,1
"68",0,1
"69",4.12162850788055,1
"70",0,1
"71",0,1
"72",0,1
"73",-6.44472821232232,1
"74",0,1
"75",0,1
"76",-6.49718530242262,1
"77",-1.85847976355341,1
"78",0,1
"79",0,1
"80",0,1
"81",0,1
"82",0,1
"83",-0.704423781346858,1
"84",0,1
"85",-5.2457090100298,1
"86",0,1
"87",0,1
"88",0,1
"89",0,1
"90",0,1
"91",-2.6228545050149,1
"92",0,1
"93",0,1
"94",0.468366875895517,1
"95",0,1
"96",0,1
"97",0,1
"98",0,1
"99",0,1
"100",0,1
"101",0,1
"102",0,1
"103",0,1
"104",0,1
"105",0,1
"106",0,1
"107",0,1
"108",-4.66118714891219,1
"109",0,1
"110",0,1
"111",0,1
"112",0,1
"113",0,1
"114",0,1
"115",0,1
"116",0,1
"117",-0.224816100429848,1
"118",0,1
"119",-2.24816100429848,1
"120",0,1
"121",0,1
"122",-12.4248364837563,1
"123",0,1
"124",0,1
"125",0,1
"126",1.49877400286566,1
"127",0,1
"128",-3.69073098205668,1
"129",0,1
"130",-0.674448301289545,1
"131",3.76566968219996,1
"132",0,1
"133",1.3788720826364,1
"134",-0.52457090100298,1
"135",0,1
"136",0,1
"137",0,1
"138",0,1
"139",0,1
"140",-1.36388434260775,1
"141",0,1
"142",0,1
"143",2.28563035437013,1
"144",0,1
"145",0,1
"146",0,1
"147",-1.58120657302327,1
"148",0,1
"149",0,1
"150",0,1
"151",0,1
"152",0.104914180200596,1
"153",4.702403433991,1
"154",-12.3199223035557,1
"155",0,1
"156",0,1
"157",3.82936757732175,1
"158",0,1
