"","standardised_augsberg_profit","augsberg_treatment"
"1",0,1
"2",0,1
"3",386.960191392918,0
"4",309.568153114335,0
"5",0,0
"6",154.784076557167,0
"7",0,0
"8",0,1
"9",0,1
"10",0,0
"11",0,0
"12",0,0
"13",309.568153114335,1
"14",0,1
"15",41.275753748578,1
"16",0,0
"17",257.973460928612,1
"18",0,0
"19",206.37876874289,0
"20",0,0
"21",0,1
"22",386.960191392918,1
"23",0,0
"24",412.75753748578,0
"25",515.946921857225,1
"26",0,0
"27",0,0
"28",722.325690600115,1
"29",0,0
"30",0,0
"31",30.9568153114335,1
"32",0,1
"33",0,0
"34",61.913630622867,1
"35",77.3920382785837,0
"36",515.946921857225,1
"37",0,1
"38",0,0
"39",206.37876874289,0
"40",0,1
"41",0,1
"42",0,0
"43",128.986730464306,0
"44",0,1
"45",0,1
"46",0,0
"47",412.75753748578,0
"48",257.973460928612,1
"49",361.162845300057,1
"50",0,1
"51",0,1
"52",0,0
"53",0,1
"54",515.946921857225,0
"55",144.465138120023,1
"56",0,0
"57",515.946921857225,1
"58",0,1
"59",0,0
"60",77.3920382785837,0
"61",0,0
"62",0,0
"63",0,1
"64",128.986730464306,1
"65",0,0
"66",103.189384371445,1
"67",0,0
"68",1031.89384371445,1
"69",0,0
"70",0,1
"71",0,0
"72",154.784076557167,1
"73",0,1
"74",0,1
"75",0,1
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,1
"81",0,0
"82",0,0
"83",0,1
"84",0,1
"85",0,0
"86",0,0
"87",0,1
"88",0,1
"89",0,0
"90",0,1
"91",154.784076557167,0
"92",154.784076557167,1
"93",0,0
"94",0,1
"95",825.51507497156,1
"96",0,0
"97",0,1
"98",0,1
"99",0,0
"100",0,0
"101",773.920382785837,1
"102",0,1
"103",412.75753748578,0
"104",0,1
"105",0,1
"106",0,0
"107",103.189384371445,1
"108",0,0
"109",77.3920382785837,1
"110",0,0
"111",154.784076557167,1
"112",103.189384371445,1
"113",0,1
"114",0,1
"115",0,0
"116",0,1
"117",0,0
"118",0,0
"119",0,0
"120",154.784076557167,1
"121",0,0
"122",0,1
"123",0,0
"124",0,1
"125",0,1
"126",0,0
"127",0,1
"128",0,1
"129",128.986730464306,0
"130",0,1
"131",0,0
"132",154.784076557167,1
"133",0,0
"134",309.568153114335,0
"135",154.784076557167,0
"136",0,1
"137",1031.89384371445,1
"138",0,1
"139",0,0
"140",0,1
"141",257.973460928612,0
"142",0,1
"143",309.568153114335,0
"144",0,0
"145",0,1
"146",128.986730464306,0
"147",257.973460928612,0
"148",206.37876874289,1
"149",180.581422650029,1
"150",0,0
"151",0,0
"152",0,1
"153",0,0
"154",0,0
"155",0,0
"156",206.37876874289,1
"157",0,1
"158",283.770807021474,1
"159",0,0
"160",154.784076557167,1
"161",0,1
"162",0,1
"163",0,0
"164",0,0
"165",412.75753748578,1
"166",0,0
"167",0,1
"168",0,1
"169",257.973460928612,1
"170",515.946921857225,0
"171",206.37876874289,0
"172",1031.89384371445,1
"173",0,1
"174",0,1
"175",0,1
"176",206.37876874289,1
"177",0,0
"178",0,0
"179",0,0
"180",0,1
"181",0,0
"182",103.189384371445,0
"183",0,1
"184",0,1
"185",0,0
"186",0,1
"187",0,0
"188",0,0
"189",257.973460928612,1
"190",515.946921857225,0
"191",309.568153114335,1
"192",1805.81422650029,0
"193",0,0
"194",0,1
"195",0,1
"196",386.960191392918,1
"197",0,0
"198",0,0
"199",0,1
"200",0,0
"201",0,1
"202",412.75753748578,0
"203",0,0
"204",0,1
"205",0,1
"206",0,1
"207",0,0
"208",257.973460928612,1
"209",0,0
"210",0,0
"211",0,1
"212",0,0
"213",928.704459343004,1
"214",0,0
"215",0,0
"216",1289.86730464306,1
"217",0,1
"218",0,0
"219",0,1
"220",0,0
"221",0,0
"222",0,1
"223",0,1
"224",0,0
"225",0,1
"226",0,1
"227",0,1
"228",0,0
"229",0,1
"230",232.176114835751,0
"231",0,1
"232",0,0
"233",154.784076557167,0
"234",206.37876874289,1
"235",0,0
"236",0,1
"237",0,1
"238",0,0
"239",0,1
"240",0,0
"241",0,0
"242",0,1
"243",0,0
"244",103.189384371445,1
"245",0,1
"246",0,0
"247",515.946921857225,1
"248",0,0
"249",0,0
"250",51.5946921857225,1
"251",0,0
"252",0,1
"253",0,0
"254",515.946921857225,1
"255",0,1
"256",0,1
"257",154.784076557167,0
"258",0,1
"259",0,0
"260",0,1
"261",0,1
"262",0,0
"263",0,0
"264",619.13630622867,1
"265",0,0
"266",154.784076557167,0
"267",0,0
"268",0,1
"269",128.986730464306,0
"270",0,1
"271",77.3920382785837,1
"272",257.973460928612,1
"273",0,1
"274",0,0
"275",103.189384371445,0
"276",0,1
"277",0,1
"278",1496.24607338595,1
"279",0,0
"280",0,1
"281",0,0
"282",0,1
"283",0,1
"284",0,1
"285",2063.7876874289,1
"286",0,1
"287",0,1
"288",0,0
"289",0,0
"290",0,1
"291",0,0
"292",0,0
"293",0,1
"294",0,1
"295",0,1
"296",0,0
"297",0,0
"298",515.946921857225,1
"299",103.189384371445,0
"300",0,0
"301",0,1
"302",154.784076557167,1
"303",0,1
"304",118.667792027162,0
"305",0,1
"306",0,1
"307",0,0
"308",0,0
"309",309.568153114335,0
"310",0,1
"311",0,0
"312",0,0
"313",0,0
"314",0,0
"315",2579.73460928612,1
"316",0,0
"317",0,1
"318",0,1
"319",1271.80916237806,0
"320",0,1
"321",0,0
"322",0,0
"323",0,0
"324",257.973460928612,0
"325",0,1
"326",0,1
"327",0,1
"328",0,0
"329",0,1
"330",0,0
"331",154.784076557167,1
"332",0,1
"333",0,0
"334",1547.84076557167,1
"335",773.920382785837,1
"336",30.9568153114335,0
"337",257.973460928612,0
"338",0,0
"339",412.75753748578,0
"340",0,1
"341",0,0
"342",0,0
"343",0,0
"344",0,1
"345",0,1
"346",1289.86730464306,1
"347",0,1
"348",464.352229671502,1
"349",0,0
"350",103.189384371445,0
"351",0,0
"352",0,1
"353",257.973460928612,0
"354",0,1
"355",257.973460928612,0
"356",0,1
"357",0,1
"358",515.946921857225,1
"359",0,0
"360",206.37876874289,1
"361",0,0
"362",0,0
"363",773.920382785837,0
"364",0,0
"365",0,1
"366",412.75753748578,0
"367",1031.89384371445,1
"368",0,0
"369",0,1
"370",0,0
"371",0,0
"372",0,0
"373",0,1
"374",0,0
"375",0,0
"376",0,0
"377",0,1
"378",0,0
"379",0,1
"380",0,0
"381",51.5946921857225,1
"382",1031.89384371445,1
"383",0,1
"384",0,1
"385",0,1
"386",361.162845300057,1
"387",0,0
"388",464.352229671502,1
"389",61.913630622867,1
"390",0,0
"391",77.3920382785837,1
"392",0,0
"393",0,1
"394",0,1
"395",0,0
"396",773.920382785837,1
"397",206.37876874289,1
"398",0,1
"399",0,0
"400",773.920382785837,0
"401",0,1
"402",0,0
"403",309.568153114335,1
"404",0,0
"405",0,1
"406",0,1
"407",0,0
"408",1031.89384371445,1
"409",0,1
"410",0,1
"411",0,0
"412",0,0
"413",0,0
"414",0,1
"415",0,0
"416",0,0
"417",0,1
"418",412.75753748578,1
"419",103.189384371445,1
"420",0,1
"421",0,1
"422",257.973460928612,0
"423",0,1
"424",0,0
"425",0,1
"426",0,1
"427",0,0
"428",0,1
"429",0,0
"430",3611.62845300057,0
"431",0,1
"432",0,0
"433",0,0
"434",0,0
"435",0,1
"436",0,0
"437",0,1
"438",0,0
"439",0,1
"440",103.189384371445,1
"441",0,0
"442",0,1
"443",0,1
"444",0,1
"445",154.784076557167,0
"446",0,1
"447",103.189384371445,1
"448",0,0
"449",0,0
"450",0,0
"451",0,1
"452",0,1
"453",0,0
"454",0,0
"455",0,1
"456",0,1
"457",103.189384371445,0
"458",0,0
"459",0,1
"460",0,1
"461",0,1
"462",309.568153114335,0
"463",0,1
"464",0,1
"465",0,0
"466",0,0
