"","standardised_banerjee_profit","banerjee_treatment"
"1",0,1
"2",0,1
"3",69.121351267504,1
"4",207.797416506384,1
"5",158.177386913097,1
"6",-218.414802751235,1
"7",0,1
"8",0,1
"9",25.5683995284184,1
"10",0,1
"11",0,1
"12",0,1
"13",0,1
"14",0,1
"15",0,1
"16",0,1
"17",0,1
"18",0,1
"19",0,1
"20",0,1
"21",0,1
"22",0,1
"23",0,1
"24",0,1
"25",0,1
"26",0,1
"27",0,1
"28",0,1
"29",0,1
"30",0,1
"31",-577.816924388473,1
"32",0,1
"33",-64.3543615249176,1
"34",0,1
"35",0,1
"36",0,1
"37",-4.62253572838232,1
"38",0,1
"39",-6.50044055807248,1
"40",0,1
"41",0,1
"42",0,1
"43",0,1
"44",0,1
"45",0,1
"46",16.2511013951812,1
"47",0,1
"48",0,1
"49",0,1
"50",0,1
"51",0,1
"52",0,1
"53",0,1
"54",0,1
"55",0,1
"56",0,1
"57",0,1
"58",0,1
"59",0,1
"60",0,1
"61",11.9174743564662,1
"62",0,1
"63",0,1
"64",0,1
"65",0,1
"66",-46.8031720181219,1
"67",0,1
"68",445.063496876029,1
"69",0,1
"70",0,1
"71",0,1
"72",0,1
"73",0,1
"74",0,1
"75",0,1
"76",0,1
"77",0,1
"78",0,1
"79",0,1
"80",0,1
"81",0,1
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",0,0
"90",-211.220981866968,0
"91",283.852571035832,0
"92",0,0
"93",0,0
"94",140.409516054366,0
"95",6.71712191000823,0
"96",0,0
"97",0,0
"98",2.16681351935749,0
"99",0,0
"100",0,0
"101",0,0
"102",0,0
"103",0,0
"104",0,0
"105",52.8702498723228,0
"106",1.86345962664744,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",-774.635833170304,0
"112",0,0
"113",-276.918767773888,0
"114",0,0
"115",19.2846403222817,0
"116",0,0
"117",-86.6725407742997,0
"118",0,0
"119",-65.0044055807248,0
"120",0,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",0,0
"126",0,0
"127",0,0
"128",0,0
"129",-29.4686638632619,0
"130",56.3371515032948,0
"131",0,0
"132",112.67430300659,0
"133",5.20035244645798,0
"134",-2.16681351935749,0
"135",0,0
"136",0,0
"137",0,0
"138",0,0
"139",216.681351935749,0
"140",0,0
"141",0,0
"142",21.6681351935749,0
"143",3.77025552368204,0
"144",55.1237359324546,0
"145",61.6241764905271,0
"146",0,0
"147",0,0
"148",29.2519825113262,0
"149",0,0
"150",0,0
"151",0,0
"152",121.34155708402,0
"153",21.6681351935749,0
"154",126.845263423188,0
"155",0,0
"156",0,0
"157",-1052.204645,0
"158",0,0
"159",0,0
"160",0,0
"161",0,0
"162",0,0
"163",0,1
"164",0,1
"165",108.340675967875,1
"166",0,1
"167",0,1
"168",-2.90353011593904,1
"169",0,1
"170",0,1
"171",-2.16681351935749,1
"172",0,1
"173",0,1
"174",0,1
"175",0,1
"176",-15.6877298801483,1
"177",2062.80647042833,1
"178",-19.0679589703459,1
"179",0,1
"180",0,1
"181",0,1
"182",0,1
"183",0,1
"184",0,1
"185",0,1
"186",0,1
"187",0,1
"188",0,1
"189",0,1
"190",0,1
"191",0,1
"192",0,1
"193",0,1
"194",0,1
"195",0,1
"196",0,1
"197",0,1
"198",0,1
"199",262.617798546128,1
"200",0,1
"201",0,1
"202",0,1
"203",0,1
"204",0,1
"205",0,1
"206",-47.6698974258649,1
"207",0,1
"208",0,1
"209",0,1
"210",659.75138037397,1
"211",0,1
"212",0,1
"213",0,1
"214",0,1
"215",0,1
"216",0,1
"217",0,1
"218",0,1
"219",0,1
"220",0,1
"221",0,1
"222",0,0
"223",0,1
"224",343.656624170098,1
"225",0,1
"226",0,1
"227",30.3353892710049,1
"228",0,1
"229",0,1
"230",0,1
"231",0,1
"232",0,1
"233",0,1
"234",22.1014978974464,1
"235",0,1
"236",0,1
"237",0,1
"238",0,1
"239",0,1
"240",0,1
"241",0,1
"242",0,1
"243",0,1
"244",0,1
"245",0,1
"246",0,1
"247",0,1
"248",0,1
"249",0,1
"250",0,1
"251",0,1
"252",0,1
"253",0,1
"254",0,1
"255",-356.007461230436,1
"256",0,1
"257",0,1
"258",0,1
"259",0,1
"260",0,1
"261",0,1
"262",0,1
"263",0,1
"264",0,1
"265",0,1
"266",0,1
"267",7.28049342504118,1
"268",0,1
"269",0,1
"270",0,1
"271",0,1
"272",0,1
"273",0,1
"274",0,1
"275",0,1
"276",0,1
"277",0,1
"278",0,1
"279",0,1
"280",0,1
"281",0,1
"282",0,1
"283",0,1
"284",0,1
"285",0,1
"286",0,1
"287",0,1
"288",0,1
"289",0,1
"290",0,1
"291",0,1
"292",0,1
"293",0,1
"294",0,1
"295",0,1
"296",329.138973590403,1
"297",0,1
"298",0,1
"299",0,1
"300",0,1
"301",15.037685824341,1
"302",0,1
"303",1.60344200432454,1
"304",0,1
"305",208.014097858319,1
"306",180.148875999382,1
"307",0,1
"308",0,1
"309",0,1
"310",-1443.09780389209,1
"311",0,1
"312",0,1
"313",0,1
"314",2.16681351935749,1
"315",0,1
"316",0,1
"317",0,1
"318",-46.3698093142504,1
"319",0,1
"320",0,1
"321",0,1
"322",0,1
"323",0,1
"324",0,1
"325",0,1
"326",0,1
"327",0,1
"328",0,1
"329",0,1
"330",0,1
"331",0,1
"332",0,1
"333",238.761181698002,1
"334",0,1
"335",0,1
"336",389.723079591639,1
"337",5.72038769110378,1
"338",0,1
"339",0,1
"340",0,1
"341",0,1
"342",0,1
"343",0,1
"344",0,1
"345",0,1
"346",0,1
"347",0,1
"348",0,1
"349",0,1
"350",0,1
"351",0,1
"352",0,1
"353",247.450103910626,1
"354",0,1
"355",0,1
"356",1.95013216742174,1
"357",0,1
"358",0,1
"359",0,1
"360",3.03353892710049,1
"361",0,1
"362",0,1
"363",21.2347724897034,1
"364",0,1
"365",0,1
"366",0,1
"367",-4.42029957948929,1
"368",-52.0035244645798,1
"369",0,1
"370",-53.9969929023887,1
"371",6.89046699155683,1
"372",0,1
"373",0,1
"374",30.3353892710049,1
"375",0,1
"376",0,1
"377",0,1
"378",0,1
"379",0,1
"380",0,1
"381",0,0
"382",0,0
"383",0,0
"384",0,0
"385",0,0
"386",-8.66725407742997,0
"387",0,0
"388",0,0
"389",0,0
"390",0,0
"391",0,0
"392",0,0
"393",0,0
"394",0,0
"395",0,0
"396",0,0
"397",0,0
"398",85.3724526626852,0
"399",0,0
"400",0,0
"401",0,0
"402",0,0
"403",0,0
"404",0,0
"405",0,0
"406",0,0
"407",0,0
"408",-1698.99848052821,0
"409",0,0
"410",0,0
"411",0,0
"412",0,0
"413",0,0
"414",0,0
"415",0,0
"416",0,0
"417",0,0
"418",-21.2781087600906,0
"419",0,0
"420",0,0
"421",104.729323628994,0
"422",0,0
"423",0,0
"424",23.8349487129324,0
"425",0,0
"426",0,0
"427",0,0
"428",136.075889015651,0
"429",0,0
"430",4.33362703871499,0
"431",0,0
"432",0,0
"433",0,0
"434",119.608106268534,0
"435",0,0
"436",249.183554726112,0
"437",0,0
"438",0,0
"439",0,1
"440",0,0
"441",0,0
"442",0,0
"443",0,0
"444",0,0
"445",0,0
"446",0,0
"447",0,0
"448",-22.1014978974464,0
"449",110.940852191104,0
"450",0,0
"451",0,0
"452",42.1661910866968,0
"453",0,0
"454",0,0
"455",0,0
"456",0,0
"457",0,0
"458",0,0
"459",0,0
"460",0,0
"461",0,0
"462",0,0
"463",0,0
"464",0,0
"465",0,0
"466",0,0
"467",-268.684876400329,0
"468",0,0
"469",0,0
"470",-866.725407742997,0
"471",0,0
"472",0,0
"473",0,0
"474",0,0
"475",0,0
"476",0,0
"477",0,0
"478",0,0
"479",-11.6285650055399,0
"480",0,0
"481",0,0
"482",143.948616588932,0
"483",-22.1014978974464,0
"484",0,0
